sample_id,rot_deg,trans_mm,status,rot_err_deg,trans_err_mm,rmse_mm,coarse_runtime_s,icp_runtime_s,runtime_total_s,method
rot0.0_trans0_noise1_none/seed0,0.0,0,failed,,,,,,564.8740992001258,A
rot0.0_trans10_noise1_none/seed0,0.0,10,ok,179.99410236567522,5829.304034666927,4398.313800891215,5.330124200088903,0.3481230998877436,5.8264816999435425,A
rot0.0_trans25_noise1_none/seed0,0.0,25,ok,0.0032934678895070795,0.38777856316691245,0.2505476734247199,5.9861254000570625,0.22928990004584193,6.401597199961543,A
rot0.0_trans50_noise1_none/seed0,0.0,50,failed,,,,,,6.333314899820834,A
rot0.0_trans100_noise1_none/seed0,0.0,100,ok,179.99839645034712,7946.960985652121,5872.376065304369,5.642142100026831,0.22998979990370572,6.057262799935415,A
rot0.5_trans0_noise1_none/seed0,0.5,0,ok,179.99909930562546,7810.355721467349,5868.828164787258,5.229437600122765,0.24589030002243817,5.661456699948758,A
rot0.5_trans10_noise1_none/seed0,0.5,10,ok,0.0025996351857998476,0.2690299576967285,0.20824723516876395,4.821108400123194,0.13259529997594655,5.132792899850756,A
rot0.5_trans25_noise1_none/seed0,0.5,25,ok,179.99909930562546,7855.505797893846,5869.445781574875,3.6864504998084158,0.17103140009567142,4.004025900037959,A
rot0.5_trans50_noise1_none/seed0,0.5,50,ok,179.99909930562546,7900.701085513671,5870.471445710376,3.7742165001109242,0.1507540000602603,4.059826400130987,A
rot0.5_trans100_noise1_none/seed0,0.5,100,ok,179.99288165178766,6876.40653685421,4959.671834288575,3.6796944001689553,0.19283269997686148,4.011456900043413,A
rot1.0_trans0_noise1_none/seed0,1.0,0,ok,0.002648512639269403,0.1967133797797342,0.1504250545996442,3.7357077000197023,0.15917949983850121,4.037696500075981,A
rot1.0_trans10_noise1_none/seed0,1.0,10,ok,179.99643345790128,5830.7169473030335,4387.2690985840645,3.685176800005138,0.18824279983527958,4.014516899827868,A
rot1.0_trans25_noise1_none/seed0,1.0,25,failed,,,,,,4.025414300151169,A
rot1.0_trans50_noise1_none/seed0,1.0,50,ok,179.99956314562453,7900.731587874594,5871.117006340498,3.732676399871707,0.13925440004095435,3.996549600036815,A
rot1.0_trans100_noise1_none/seed0,1.0,100,failed,,,,,,4.202456200029701,A
rot2.0_trans0_noise1_none/seed0,2.0,0,ok,179.99821757415975,5802.355441067265,4367.883532845207,3.672234300058335,0.2279882999137044,4.045424400130287,A
rot2.0_trans10_noise1_none/seed0,2.0,10,ok,179.99821757415975,5809.762551337943,4368.487176874087,3.7717295000329614,0.23310240008868277,4.142428500112146,A
rot2.0_trans25_noise1_none/seed0,2.0,25,ok,179.99821757415975,5820.873461359524,4369.416356230535,3.6717219001147896,0.24142970005050302,4.057125699939206,A
rot2.0_trans50_noise1_none/seed0,2.0,50,ok,0.0021398449634809484,0.23059699835280023,0.26041083175600177,3.6811895000282675,0.1571984998881817,3.979525800095871,A
rot2.0_trans100_noise1_none/seed0,2.0,100,ok,179.99821757415975,5876.432359045075,4374.4884681664125,3.6614829001482576,0.2365884999744594,4.031587899895385,A
rot4.0_trans0_noise1_none/seed0,4.0,0,ok,0.002485805334016823,0.1803620146819563,0.16136040777322144,3.800002899952233,0.15984600014053285,4.1020731998141855,A
rot4.0_trans10_noise1_none/seed0,4.0,10,ok,0.002485805920490223,0.1806194567250244,0.16127436866316258,3.766733300173655,0.16395279997959733,4.057538100052625,A
rot4.0_trans25_noise1_none/seed0,4.0,25,ok,179.99771528513202,7855.3836300252115,5875.422627766343,3.735659600002691,0.14245439996011555,4.001396499807015,A
rot4.0_trans50_noise1_none/seed0,4.0,50,ok,0.0024858047475432845,0.18165246845907163,0.1609375315837409,3.7643896001391113,0.15755210001952946,4.05196540011093,A
rot4.0_trans100_noise1_none/seed0,4.0,100,ok,89.99884884144244,5244.971115327639,4230.975520717511,3.8246553998906165,0.1596772000193596,4.12181909987703,A
rot0.0_trans0_noise1_none/seed0,0.0,0,ok,0.0032934681108328792,0.38697723664217354,0.2498085572133181,0.006375099997967482,0.1552551998756826,0.2899148999713361,B
rot0.0_trans10_noise1_none/seed0,0.0,10,ok,0.0032934687748101894,0.38729757338048215,0.25010385667285395,0.006782999960705638,0.1397003000602126,0.2774424001108855,B
rot0.0_trans25_noise1_none/seed0,0.0,25,ok,0.0032934678895070795,0.3877785380334733,0.25054763246171996,0.006559700006619096,0.13967479998245835,0.25834840000607073,B
rot0.0_trans50_noise1_none/seed0,0.0,50,ok,0.0032934683321586646,0.38858136617823363,0.251289450057272,0.007248200010508299,0.13433270016685128,0.25401809997856617,B
rot0.0_trans100_noise1_none/seed0,0.0,100,ok,0.0032934683321586646,0.3901915650223278,0.2527812156310567,0.0066368000116199255,0.13664230005815625,0.27929460001178086,B
rot0.5_trans0_noise1_none/seed0,0.5,0,ok,0.0025996351857998476,0.2688367980547212,0.2081722577484302,0.006530000129714608,0.14257659995928407,0.26547930017113686,B
rot0.5_trans10_noise1_none/seed0,0.5,10,ok,0.0025996343446092517,0.2690299576940609,0.20824723516793914,0.0064154998399317265,0.14066279982216656,0.2707613001111895,B
